ID,Name,Concepticon_ID,Concepticon_Gloss,GBIF_ID,GBIF_NAME,canonicalName,rank,kingdom,kingdomKey,phylum,phylumKey,class_,classKey,order,orderKey,family,familyKey,genus,genusKey
cardiospermumhalicacabum,Cardiospermum halicacabum,,,3189939,Cardiospermum halicacabum L.,Cardiospermum halicacabum,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Sapindales,933,Sapindaceae,6657,Cardiospermum,3189931
caricapapaya,Carica papaya,,,2874484,Carica papaya L.,Carica papaya,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Brassicales,7225535,Caricaceae,6636,Carica,2874482
cassiasieberiana,Cassia sieberiana,,,5357182,Cassia sieberiana DC.,Cassia sieberiana,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Cassia,2963414
cataglyphis,Cataglyphis,,,1319559,"Cataglyphis Förster, 1850",Cataglyphis,GENUS,Animalia,1,Arthropoda,54,Insecta,216,Hymenoptera,1457,Formicidae,4342,Cataglyphis,1319559
cataloipuscymbiferus,Cataloipus cymbiferus,,,1701280,"Cataloipus cymbiferus (Krauss, 1877)",Cataloipus cymbiferus,SPECIES,Animalia,1,Arthropoda,54,Insecta,216,Orthoptera,1458,Acrididae,9394,Cataloipus,1701253
catantopsstramineus,Catantops stramineus,,,1710673,"Catantops stramineus (F.Walker, 1870)",Catantops stramineus,SPECIES,Animalia,1,Arthropoda,54,Insecta,216,Orthoptera,1458,Acrididae,9394,Catantops,1710670
ceibapentandra,Ceiba pentandra,,,5406697,Ceiba pentandra (L.) Gaertn.,Ceiba pentandra,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malvales,941,Malvaceae,6685,Ceiba,3152218
celosiaargentea,Celosia argentea,,,3085191,Celosia argentea L.,Celosia argentea,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Amaranthaceae,3064,Celosia,3085190
celosiatrigyna,Celosia trigyna,,,3085198,Celosia trigyna L.,Celosia trigyna,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Amaranthaceae,3064,Celosia,3085190
celtistoka,Celtis toka,,,4160100,Celtis toka (Forssk.) Hepper & J.R.I.Wood,Celtis toka,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Cannabaceae,2384,Celtis,2984479
cenchrusbiflorus,Cenchrus biflorus,,,5289734,Cenchrus biflorus Roxb.,Cenchrus biflorus,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Cenchrus,2703201
cenchrusprieurii,Cenchrus prieurii,,,4933038,Cenchrus prieurii (Kunth) Maire,Cenchrus prieurii,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Cenchrus,2703201
centaureaperrottetii,Centaurea perrottetii,,,4249996,Centaurea perrottettii DC.,Centaurea perrottettii,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Centaurea,3127469
centropussenegalensis,Centropus senegalensis,,,5231999,"Centropus senegalensis (Linnaeus, 1766)",Centropus senegalensis,SPECIES,Animalia,1,Chordata,44,Aves,212,Cuculiformes,1492,Cuculidae,9309,Centropus,2496524
cerastesvipera,Cerastes vipera,,,5221013,"Cerastes vipera (Linnaeus, 1758)",Cerastes vipera,SPECIES,Animalia,1,Chordata,44,Reptilia,358,Squamata,715,Viperidae,5024,Cerastes,2444742
ceratothecasesamoides,Ceratotheca sesamoides,,,5415089,Ceratotheca sesamoides Endl.,Ceratotheca sesamoides,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Pedaliaceae,6650,Sesamum,3172619
